url;price;title;address;longitude;latitude;jurisdiction;visit;full_description;city;date_posted;residence_type;principal_characteristics.Bedrooms;principal_characteristics.Bathrooms;principal_characteristics.Size (sqft);amenities.Unit Type;amenities.Agreement Type;amenities.Move-In Date;amenities.Pet Friendly;amenities.Furnished;amenities.Laundry (In Unit);amenities.Laundry (In Building);amenities.Dishwasher;amenities.Fridge / Freezer;amenities.Air Conditioning;amenities.Yard;amenities.Balcony;amenities.Smoking Permitted;amenities.Gym;amenities.Pool;amenities.Concierge;amenities.24 Hour Security;amenities.Bicycle Parking;amenities.Storage Space;amenities.Elevator in Building;amenities.Wheelchair accessible;amenities.Braille Labels;amenities.Audio Prompts;amenities.Barrier-free Entrances and Ramps;amenities.Visual Aids;amenities.Accessible Washrooms in Suite;amenities.Hydro;amenities.Heat;amenities.Water;amenities.Cable / TV;amenities.Internet;amenities.Parking Included;amenities.Virtual Options
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/new-listing-beautiful-apartment-on-2-floors-private-backyard/1504271754;1995;Decarie Residence (4516) - 5 ½ Three Bedrooms...;2095 Rue Saint-Urbain, Montréal, QC H2X 2N1, Canada;-73.569028;45.510829;quebec;253.0;Beautiful apartment in victorian house renovated with lots of charm in great location, 2 floors, 2 full bathrooms, 3 bedrooms and very large private backyard (possibility of parking), kitchen was completely redone. This unit is fully furnish, beds, desks, all appliances and furniture. High speed wifi included, just need to pay electricity/heating.Available August 25thSecurity depositWe are looking for quiet students or professional.Virtual visithttps://www.youtube.com/watch?v=dnR1z9Csbhc&feature=youtu.beRichardBecause of covid, the only day available for visits will be August 7th, if you are interested after viewing the virtual visit please send us more information bout yourself and the other tenants. Let us know of you have any questions.ThanksRichard;Ville de Montréal;2020-07-28T14:22:03.000Z;House;3 + Den;2;1200;Apartment;1 Year;2020-08-25T00:00:00Z;No;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;1;[onlineapplication, videochat, virtualtour]
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/spacieux-appartement-tout-meuble-uaqm-downtown-centre-ville/1516449185;2025;Recherché :                            OCT 1 - Outremont/Little Italy/Villeray/Mile End/Mile Ex;1191 Rue Sainte-Elisabeth, Montréal, QC H2X 3C3, Canada;-73.56004;45.51151;quebec;4.0;"(English will follow)Superbe appartment au coeur du centre-ville de Montreal (downtown)  ct de l'UQAM, situ sur une jolie rue tranquille. L'appartment est trs lumineux, bien entretenue, plusieurs rnovations neuves, toutes les portes et fentres changes ainsi que 3 puits de lumires3 grandes chambres meubles, comprennant chacune un grand lit double, literie incluse, bureau/chaise et espace de rangement. Grandes fentre neuves. Bien clair.Espace dtente, rcamier, TV, WiFi haute vitesse 120Gb/s possible. Cuisine tout quipp pour cuisiner, pole/four, rfrigrateur, micro-onde, bouilloir, machine  caf filtre et machine Keurig  dosette. Incluant, verres/tasses/assiettes/ustensils etc. Il ne manque que vos recettes! Et le plus merveilleux, un Lave-vaisselle!Et pour l't une merveilleuse terasse sur le toit accessible de la porte de la cuisine. Parfait pour BBQ / patio et ""chiller"" dehors!Merveilleusement situ  proximit de TOUT! L'UQAM, le centre sportif, les bars et piceries, stratgiquement situ entre la place Dupuis et le complexe Desjardins. La place des festivals et la place des Arts et toute proche  pied! Mtro Berri-Uqam, Champs de Mars et St Laurent tous a 3-4min de marche.L'appartment est meubl et tout est inclus Literie vaisselle incluse etc. Il ne manque que vous vos vtements et votre nourritureStationnement rservs aux rsidents (vignettes)&Agrave; qui la chance!Idal tudiant, pvtiste, internship etc.---FULLY FURNUSHEDEverything is included: furnitures, appliances, bed sheets, towels, everything to cook etc.Available for Short term or long termFully Furnished Spacious Apartment 3 Bedroom apartment with 3 Beds and a sofa bedAlways well maintained apartment and lots of new renovations, flooring, windows, doors etc.Located in one of the best areas in Downtown Montreal On Ste-Elisabeth Walking distance to everything, Metro Berri, St-Laurent, Champs-de-Mars, a bars, restaurants, nightlife, food-market, Place des festivals, old ports all footsteps awayIdeal for students, internship, pvtiste etc.";Ville de Montréal;2020-08-06T14:54:35.000Z;House;3 + Den;1;1500;Apartment;1 Year;2020-08-29T00:00:00Z;Limited;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Outdoors only;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;No;Yes;Yes;No;0;[onlineapplication, videochat, virtualtour]
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/old-mtl-2-story-loft-1350-sf-bricks-wood-location/1516415499;2150;900m walk to metro Namur with 4 bed rooms 2 bathroom;696 William, Montreal, QC, H3C 1N9;-73.5571676;45.4985187;quebec;2.0;FEW LOFTS AVAILABLE NOW ** PICTURES ARE FROM 3 DIFFERENT UNITSQUELQUES CONDOS DISPONIBLE MAINTENANT ET LES PHOTOS SONT POUR 3 UNITÉS DIFFÉRENTES***NO Close bedrooms (OPEN 2 story LOFTS)# 412 **1350sf, 4th-5th floor, modern bathroom, skylight, open concept, balcony 2400$- Available now# 209 **1850sf, 2nd and 3rd floor, Open concept, very spacious kitchen with Island-2450$- Available now#211 **1400 sf, 2nd and 3rd floor, open concept, spacious kitchen and bathroom, west orientation-2150$-Available now1/2 MONTH FREEOld Montreal's best location, Unique building, only 24 lofts in total.Very private!Gorgeous 2 story loft possibility 2 OPEN bedrooms on 2nd floor, no close bed. lots of storage, 1 powder room on main floor and 1 full bath upstairs.Thse condos are typical Old Montreal Signature!-Credit verification is mandatory and shall be entirely at the lessor's satisfaction-Work references require- Tenant needs a liability insurance as per rule and regulations of the building.-The tenant will respect building rules and regulations at all time- Smoking (cigarettes-marijuana-cigars) is prohibited in the unit.- Pets need to be approved.--------------------------------------------------------# 412 **1350PC, 4e-5e étage,puis de lumière, concept ouvert, balcon 2450$- Disponible maintenant# 209 **1850PC, 2e et 3e étage, concept ouvert, cuisine très spacieuse avec Ilot-2450$- Disponible maintenant#211 **1400PC, 2e et 3e étage, concept ouvert, cuisine très spacieuse,orientation Ouest - 2150$-Disponible maintenant1/2 MOIS GRATUITCondo Style loft, Possibilité de 2 chambres OUVERTES (1+espace bureau ou 2eme chambre) au 2eme etage et salle de bain complete,1er etage avec salon, cuisine et salle a mange, tres tranquille!2eme etage ouvert avec walk in et rangement supplementaire, IDEAL POUR COUPLE - pas co-location-Une vérification de crédit et références d'emploi seront exigées et devront être a la satisfaction du propriétaire-Assurance locataire avec 2 millions de responsabilité civile obligatoire-Aucune sous location ne sera tolérée (AIRBNB), non fumeur-Animaux doivent être approuvés-Le locataire devra respecter les règlements d'immeubles en tout temps;Ville de Montréal;2020-08-06T12:48:00.000Z;House;2;1.5;1400;Apartment;1 Year;2020-08-01T00:00:00Z;Limited;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;0;[virtualtour]
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/2-story-loft-exposed-brich-rocks-beams-old-montreal/1516415493;1800;900m walk to metro Namur with 4 bed rooms 2 bathroom;696 William, Montreal, QC, H3C 1N9;-73.5571676;45.4985187;quebec;7.0;FEW LOFTS AVAILABLE NOW***NO Close bedrooms (OPEN LOFTS)#201 1300sf, 2 story,exposed bricks, stones and beams, all appliances1925$ - Available NOW#210 **1000sf, 2 story, exposed bricks, stones and beams, all appliances, balcony! 1800$ -Available NOW1/2 MONTH FREEOld Montreal's best location, Unique building, only 24 lofts in total. Very private! Gorgeous 2 story loft on 2nd floor, no close bed. 1st floor with living room, kitchen and dining room, very quiet! 2nd floor open with walk in and additional storage, IDEAL FOR COUPLE not roomates- Proof of income / letter of reference will be required- Credit inquiry with Oligny and Thibodeau (must be to the satisfaction of the lessor)-Tenant home insurance with 2 million liability coverage is mandatory-No sublease will be allowed (AIRBNB or Other)-Any pet must be approved by the owner and a deposit may be required.-No Smoking (cigar, cigarette, marijuana)-The tenant will respect building rules___________________________________#201 1300sf, 2 étages, mur de briques et poutres exposées, tous les électroménagers, 1925$ - Disponible maintenant#210 **1000sf, 2 étages,mur de briques et poutres exposées,, tous les électroménagers, balcon! 1800$ - Disponible maintenant1/2 MOIS GRATUITSuperbe espace ouvert sur 2 etages Condo Style loft, 2e étage spacieux idéal 1 chambre ouverte +espace bureau et salle de bain complete,1er etage avec salon, cuisine et salle a mange, très tranquille! 2eme étage ouvert avec walk in et rangement supplementaire, IDEAL POUR COUPLE pas co-location-Preuve de revenus/ lettre de référence seront exigées-Enquete de credit avec Oligny et Thibodeau(devra être à l'entiere satisfaction du locateur)-Preuve d'assurance avec 2 millions de responsabilité civile obligatoire en tout temps-Aucune sous location de type AIRBNB ne sera permise-Tout animal domestique devra etre approuvé par le propriétaire et un dépôt pourra être exigé.-Non Fumeur (cigare, cigarette, marijuana);Ville de Montréal;2020-08-06T13:00:00.000Z;House;1;1.5;1000;Apartment;1 Year;2020-07-01T00:00:00Z;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;0;
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/luxueux-appartements-4-5-de-style-condos-a-louer/1516432104;1895;900m walk to metro Namur with 4 bed rooms 2 bathroom;5068 Chemin de la Côte-Saint-Paul, Montréal, QC H4C 1W6, Canada;-73.592959;45.4703683;quebec;3.0;"1 unit of 2 bedrooms available 1st April 1595$(Main floor)1 unit of 2 bedrooms available 1st July rented (second floor)1 unit of 2 bedrooms available 1st July 1895$(main floor ,2 full barthroom ,large basement can make another open bedroom)Indoor parking spots are available for $150/monthAppartement de luxe a deux etages.New Building New 6 Appliances3 Bedrooms 2 Bathrooms 2 livingroomsMinimum 1 year term with credit check1400 square feet Ready to move in Brand new building high end finishAVAILABLE from today1st FloorConstruction 2018-High ceilings-LED Lighting-Stainless Steel; fridge, stove and dishwasher included-Stackable Washer/Dryer included-Large thermal windows-Great size bedroom's-Modern Kitchen-Quartz Countertop-Air Conditioning/Air Exchange-Hardwood Floors-Wired for bell fiber and Videotron cable -Well Insulted Furniture could provided for extra cost Beautiful Condo Located in the popular district of St. Henri within walking distance of all amenities including Lachine Canal, Glen Super Hospital, Parks, Atwater market, public transit, bike paths, restaurants and only 5 min from downtown.-new 5 super hospitals(MUHC)Montreal Excellent choice for the medical student, resident doctor, employees from those 5 hospitals of MUHC or patients need often treatment Very good for family or 3persons share and split the rents. It will be cheaper than rent for 3 1/2- 1400 ft2 living area- 3 Large bedrooms- 2 large bathroom,- Fine, Modern, Luxury finishing (Hardwood; ceramic flooring, quartz countertop)- Each unit includes brand new stainless appliance washer; dryer, Refrigerator, Stove, Dishwasher & air conditioner (Electricity not included)- 10 mins walking or 2 min. driving to 5 super hospitals, new MUHC McGill university health center, the new Montreal children's hospital- 10 mins walk+metro to Mcgill & Concordia University; old Port of Montreal and heart of Montreal- 2 mins driving to Sherbrooke shopping street and west mount area.- 1 0 mins walking to metro St-Henri- 1 min to bus 37 stop , which takes 5 mins to terminal at metro Vendome- 15 mins walking to AtWater market- 2 mins walk to canal Lachine- 2 mins walk to Bixi station (15 to downtown by bicycle- 2 mins walk to parc- 5 mins walk to Complexe receatif Gabois (swim , gym, basketball,hockey, etc)- Restaurant, Grocery are everywhere around the building.-----------------------------------------------------------------------------------------------------------------Nouveau btiment Nouveau 6 appareils3 chambres 2 salles de bains 2 salonsMinimum 1 an avec vrification du crdit1400 pieds carrs, prts  emmnager dans un tout nouvel immeuble avec une finition haut de gammeDISPONIBLE  partir d'aujourd'hui1er tageConstruction 2018-De hauts plafonds-&Eacute;clairage LED-Acier inoxydable; rfrigrateur, cuisinire et lave-vaisselle inclus- Laveuse / scheuse empilable incluse-Grandes fentres thermiques-Grande taille de chambre-Cuisine moderne-Quartz Countertop-Air conditionn / change d'air- planchers de bois francMagnifique condo situ dans le quartier populaire de St. Henri,  distance de marche de toutes les commodits, y compris le canal de Lachine, le Glen Super Hospital, les parcs, le march Atwater, les transports en commun, pistes cyclables, restaurants et  seulement 5 min du centre-ville.-nouveau 5 super hpitaux (CUSM) Montral Excellent choix pour l'tudiant en mdecine, le mdecin rsident, les employs de ces 5 hpitaux du CUSM ou les patients qui ont besoin d'un traitement. Trs bien pour la famille ou les 3 personnes partageant et partageant les loyers..";Ville de Montréal;2020-08-06T13:24:14.000Z;House;3;1.5;1400;Apartment;1 Year;2020-07-01T00:00:00Z;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;0;
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/wow-a-voir/1516397529;2000;900m walk to metro Namur with 4 bed rooms 2 bathroom;H2H2C2, Canada;-73.5803579;45.5385833;quebec;39.0;"RARET&Eacute; sur l’avenue de LorimierAvenue bucolique avec ses arbres centenairesMagnifique 5 et demi sur le plateau mont-RoyalSitu au dernier tage d’un triplex habit par le propritaire3 chambres fermesBalcons avant et arrire qui permettent de profiter entirement de la luminosit durant toute la journeRemis  neuf , logement chic et de bon got qui saura vous plaireSalle de bain neuve avec bain doucheCuisine haut de gamme avec beaucoup de rangement et lot pour accompagner ceux qui cuisinent, comptoir de quartz , lave vaisselle&Eacute;LECTROS incluslaveuse scheuse superposes inclusPortique d’entre avec puit de lumire et grand garde-robePlancher de bois remis  neufUne vie de quartier trs agrable avec toutes les commodits  distance de marcheStationnement trs facile avec ou sans vignetteImmeuble tranquille, non-fumeur, sans animaux et trs bien entretenuVeuillez nous contacter pour de plus amples informationsAu plaisir!Justine";Ville de Montréal;2020-08-06T02:56:28.000Z;House;3 + Den;1;1000;Apartment;1 Year;2020-08-05T04:00:00Z;No;No;Yes;No;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;0;
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-1-2-plateau-mont-royal/1512570789;1850;5 1/2 SAINT CANUT-MIRABEL;H2L4A5, Canada;-73.5727301;45.5214979;quebec;412.0;Situe sur la belle rue St-Hubert , avec arbres matures, grand 5 1/2 au Rez de chausse avec 3 chambres fermes, compltement repeint en blanc , btisse datant de 1920, mur de brique, plancher en bois franc , cuisine de style sudoise termine dans 4-5 jours , cuisinire, nouveau lave-vaisselle, rfrigrateur, nouvelle Laveuse/scheuse, cour arrire, plancher de bois franc, nouvelles fentres et nouveau store dans la cuisine et salon, beaucoup de cachet , endroit calme et voisinage respectueux et trs tranquille.Prs des cafs, resto, boulangerie, fruiterie , parc Lafontaine, parc du Mont-Royal et transport en commun.Enqute de crdit, rfrence sur demande, non-fumeur , disponible maintenant ,  voir !;Laval/Rive Nord;2020-08-02T14:44:06.000Z;House;3;1;1200;Apartment;1 Year;2020-07-16T04:00:00Z;No;No;Yes;No;No;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;0;
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-5-a-louer-iles-des-soeurs-nuns-island-201-rue-corot/1516327334;1849;4 ½ MÉTRO VIAU HOCHELAGA HOMA CHAUFFAGE INCLUS;201 rue Corot, Verdun, QC, H3E 1C4;-73.5501315;45.4664179;quebec;6.0;Disponible,br />**Visites virtuelles disponibles!**À la tour HI-RISE 1, nichée au cœur de l’Île-des-Sœurs, le bonheur est à portée de main. Conçue par l’architecte de renom Mies Van der Rohe, la tour HI-RISE 1, conviviale pour les familles, est dotée de commodités modernes.L’emplacement avant tout! Située sur les rives du fleuve Saint-Laurent, près de vastes espaces verts et de parcs, la tour HI-RISE 1 se trouve à proximité de toutes les commodités nécessaires. À seulement 15 minutes du centre-ville de Montréal et non loin de boutiques, d’épiceries, de banques et d’écoles, les résidents apprécieront les avantages de vivre à l’Île-des-Sœurs. Votre animal de compagnie y trouvera également son compte grâce à la proximité du parc de West-Vancouver. La tour HI-RISE 1 est bien desservie par les circuits d’autobus 168 et 12.UNE VIE SANS SOUCIS-	Équipe de service à la clientèle joignable en tout temps-	Personnel d’entretien ménager sur place-	Personnel d’aménagement paysager et de déneigement sur place-	Intervention d'urgence sur appel-	Propriété sécuritaireCE QUI NOUS DISTINGUE...-	Possibilités d’implication communautaire-	Rabais exclusifs d'entreprises locales-	Événements gratuits pour les résidents-	Piscine extérieure et sauna-	Fenestration du sol au plafond offrant une vue panoramique sur le centre-ville de Montréal et le fleuve Saint-LaurentÉLISEZ DOMICILE ICI...-	Logements fonctionnels : studio, 1 c. à c. et 2 c. à c.-	Logements standards ou rénovés avec réfrigérateur et cuisinière-	Vue panoramique sur le centre-ville de Montréal et le fleuve Saint-Laurent-	Durée de bail de 12 mois-	Système de cartes à puce dans les installations de buanderie-	Chauffage et eau inclus dans le loyer-	Stationnement intérieur ($)Apprenez davantage sur la communauté Boardwalk en vous abonnant à notre compte Facebook et Instagram : @bwalkcommunity*Rabais corporatif chez BRICK, Rabais de 10 % sur vos achats en ligne chez Rosso Coffee Roasters et bien plus encore!Remarque : les informations publiées, incluant la disponibilité des logements, les dépôts de garantie, les loyers et les primes incitatives, sont modifiables sans préavis et peuvent varier en fonction du logement. Les résidents actuels peuvent communiquer avec le représentant du service à la clientèle pour discuter des options de renouvellement de bail. Les plans d’aménagement des logements et des étages, présentés à titre indicatif uniquement, ne sont pas nécessairement représentatifs de la réalité. Certaines conditions s'appliquent. Les montants de loyer sont nets et incluent les primes incitatives en vigueur. Les primes incitatives annoncées sont exclusives aux nouveaux résidents. Les transferts sont assujettis aux conditions énoncées dans l’entente de transfert.**Virtual Showings Available!**You can’t buy happiness, but you can rent it at HI-RISE 1 apartments in beautiful Nun’s Island. Designed by famous architect, Mies Van der Rohe, HI-RISE 1 is a family-friendly building surrounded by modern conveniences. Location, location, location! Situated on the banks of the St. Lawrence River near an abundance of green space and parks, HI-RISE 1 is close to every important amenity. Just 15 minutes from downtown Montreal and close to shopping, grocery stores, banks and schools, apartment renters will enjoy the convenience of living on Nun’s Island. Your pet will love it too with West Vancouver Park nearby. When you rent at HI-RISE 1 apartments you’ll also have easy access to public transportation with the 168 and 12 bus routes right outside your door. WORRY-FREE LIVING-	24-hour customer service team-	On-site cleaning staff-	On-site landscaping and snow removal-	On-call emergency maintenance-	On-site securityWHAT SETS US APART-	Community involvement opportunities-	Exclusive discounts with local businesses*-	Free resident events-	Outdoor swimming pool and sauna-	Floor to ceiling windows with an unobstructed view of Montreal’s skyline and the St-Lawrence RiverLIVE HERE-	Functional studios, 1, and 2-bedroom suites -	Standard and upgraded suites with fridge and stove-	Unobstructed view of Montreal’s skyline and the St-Lawrence River  -	12-month lease terms-	Smart Card System in laundry facilities -	Heat and water included -	Indoor parking available for a fee ($)Start getting to know the Boardwalk community by following @bwalkcommunity on Facebook and Instagram!*Corporate discount at BRICK, 10% off online Rosso Coffee Roasters purchases, and more!Note: Information posted, including suite availability, security deposits, rental rates and incentives are subject to change without notice or may vary by suite type. Current residents can contact the Customer Service Representative to discuss lease renewal options. Suites and floor plans may not be as shown. Some conditions apply. Rental rates listed are net and include current incentives when applicable. Incentives advertised are for new applicants. Internal transfers are subject to conditions found within the Transfer Agreement.https://www.bwalk.com/fr-ca/À-louer/Details/Québec/Verdun/Hi-Rise-1;Ville de Montréal;2020-08-05T20:18:01.000Z;House;2;2;1050;Apartment;1 Year;2020-08-01T00:00:00Z;Yes;No;No;Yes;No;Yes;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;1;
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-5-1-2/1516329345;1900;4 ½ MÉTRO VIAU HOCHELAGA HOMA CHAUFFAGE INCLUS;, Montreal  H2L 1M4 QC, Canada;-73.564623;45.5247652;quebec;5.0;Rue Sherbrooke enface du Parc Lafontaine, grand 5 1/2 avec cave3cac fermes, cuisine, salon, salle de bain ( bain/ douche ) salle de lavage, 2 stationnementsDisponible 1er juilletPrix: $1900.00Johanne 514-983-5452;Ville de Montréal;2020-08-05T20:13:23.000Z;House;3;1;1200;Apartment;1 Year;2020-08-01T00:00:00Z;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;2;
https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-6-1-2-pres-de-metro-beaudry/1516348691;2200;Appt meublé;1226 Boul. de Maisonneuve E, Montréal, QC H2L 1Z9, Canada;-73.557289;45.5193447;quebec;25.0;Beau 6 1/2 a louer, 2 min pour marche a metro Beaudry, 9 min pour marche a metro Berri-UQAM. Calme et pres de tous les servies. 4 chambres fermees, Inclus four, frigo, lit........$2200/mo, Libre maintenant. Contacte par email jinyuerose@hotmail.com, tel 514-5691815Address: 1226 Boul de Maisonneuve Est, Montreal, H2L 1Z9;Ville de Montréal;2020-08-05T21:48:05.000Z;House;4;1.5;1200;Duplex/Triplex;1 Year;2020-08-05T00:00:00Z;Limited;Yes;Yes;No;No;Yes;Yes;No;Yes;Outdoors only;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;0;
